m00024.0-constant  line 75  `1000000.0` -> `1000001.0`
m00941.0-constant  line 417  string `'ConstantTZ'` -> `'XX...XX'`
m00961.0-return  line 423  return value replaced with `None`
m00962.0-arithmetic  line 423  operator `/` -> `*`
m00971.0-arithmetic  line 423  operator `*` -> `/`
m00972.0-constant  line 423  `60` -> `61`
m00974.0-constant  line 423  `60` -> `61`
m00990.0-return  line 429  return value replaced with `None`
m01014.0-return  line 436  return value replaced with `None`
m01015.0-arithmetic  line 436  operator `%` -> `*`
m01016.0-constant  line 436  string `'%s(name=%r, offset=%...'` -> `'XX...XX'`
m01036.0-constant  line 439  string `'UTC'` -> `'XX...XX'`
m01045.0-constant  line 440  `0` -> `1`
m01056.0-constant  line 441  `0` -> `1`
m01135.0-constant  line 466  `0` -> `1`
m01138.0-constant  line 466  `1` -> `2`
m01155.0-return  line 468  return value replaced with `None`
m01156.0-comparison  line 468  comparison `>` -> `>=`
m01162.0-constant  line 468  `0` -> `1`
m01175.0-return  line 472  return value replaced with `None`
m01180.0-return  line 473  return value replaced with `None`
m01197.0-return  line 477  return value replaced with `None`
m01198.0-arithmetic  line 477  operator `-` -> `+`
m01208.0-return  line 478  return value replaced with `None`
m01215.0-return  line 481  return value replaced with `None`
m01232.0-return  line 484  return value replaced with `None`
m01233.0-arithmetic  line 484  operator `%` -> `*`
m01234.0-constant  line 484  string `'%s()'` -> `'XX...XX'`
m01254.0-arithmetic  line 491  operator `-` -> `+`
m01255.0-constant  line 491  `6` -> `7`
m01265.0-arithmetic  line 493  augmented assign `+=` -> `-=`
m01274.0-return  line 494  return value replaced with `None`
m01283.0-constant  line 507  `1` -> `2`
m01284.0-constant  line 507  `3` -> `4`
m01285.0-constant  line 507  `8` -> `9`
m01286.0-constant  line 507  `2` -> `3`
m01293.0-constant  line 509  `1` -> `2`
m01294.0-constant  line 509  `11` -> `12`
m01295.0-constant  line 509  `1` -> `2`
m01296.0-constant  line 509  `1` -> `2`
m01303.0-constant  line 513  `1` -> `2`
m01304.0-constant  line 513  `4` -> `5`
m01305.0-constant  line 513  `1` -> `2`
m01306.0-constant  line 513  `2` -> `3`
m01313.0-constant  line 514  `1` -> `2`
m01314.0-constant  line 514  `10` -> `11`
m01315.0-constant  line 514  `25` -> `26`
m01316.0-constant  line 514  `1` -> `2`
m01323.0-constant  line 519  `1` -> `2`
m01324.0-constant  line 519  `4` -> `5`
m01325.0-constant  line 519  `24` -> `25`
m01326.0-constant  line 519  `2` -> `3`
m01379.0-return  line 536  return value replaced with `None`
m01396.0-return  line 540  return value replaced with `None`
m01401.0-return  line 542  return value replaced with `None`
m01410.0-return  line 545  return value replaced with `None`
m01411.0-arithmetic  line 545  operator `+` -> `-`
m01429.0-boolean  line 548  `or` -> `and`
m01431.0-comparison  line 548  comparison `is` -> `is not`
m01436.0-comparison  line 548  comparison `is` -> `is not`
m01443.0-return  line 553  return value replaced with `None`
m01447.0-comparison  line 554  comparison `is` -> `is not`
m01456.0-comparison  line 558  comparison `<` -> `<=`
m01457.0-constant  line 558  `2006` -> `2007`
m01477.0-comparison  line 560  comparison `<` -> `<=`
m01477.1-comparison  line 560  comparison `<` -> `<=`
m01478.0-constant  line 560  `1986` -> `1987`
m01485.0-constant  line 560  `2007` -> `2008`
m01500.0-comparison  line 562  comparison `<` -> `<=`
m01500.1-comparison  line 562  comparison `<` -> `<=`
m01501.0-constant  line 562  `1966` -> `1967`
m01508.0-constant  line 562  `1987` -> `1988`
m01522.0-return  line 565  return value replaced with `None`
m01558.0-comparison  line 572  comparison `<=` -> `<`
m01558.1-comparison  line 572  comparison `<` -> `<=`
m01572.0-return  line 573  return value replaced with `None`
m01575.0-return  line 575  return value replaced with `None`
m01586.0-constant  line 578  `5` -> `6`
m01587.0-constant  line 578  string `'Eastern'` -> `'XX...XX'`
m01588.0-constant  line 578  string `'EST'` -> `'XX...XX'`
m01589.0-constant  line 578  string `'EDT'` -> `'XX...XX'`
m01598.0-constant  line 579  `6` -> `7`
m01599.0-constant  line 579  string `'Central'` -> `'XX...XX'`
m01600.0-constant  line 579  string `'CST'` -> `'XX...XX'`
m01601.0-constant  line 579  string `'CDT'` -> `'XX...XX'`
m01610.0-constant  line 580  `7` -> `8`
m01611.0-constant  line 580  string `'Mountain'` -> `'XX...XX'`
m01612.0-constant  line 580  string `'MST'` -> `'XX...XX'`
m01613.0-constant  line 580  string `'MDT'` -> `'XX...XX'`
m01622.0-constant  line 581  `8` -> `9`
m01623.0-constant  line 581  string `'Pacific'` -> `'XX...XX'`
m01624.0-constant  line 581  string `'PST'` -> `'XX...XX'`
m01625.0-constant  line 581  string `'PDT'` -> `'XX...XX'`
